time,label,sex,height,shoe_size
04.10.2016 17:58:51,1,woman,160.0,40.0
04.10.2016 17:58:59,1,woman,171.0,39.0
04.10.2016 18:00:15,1,woman,174.0,39.0
04.10.2016 18:01:17,1,woman,176.0,40.0
04.10.2016 18:01:22,2,man,195.0,46.0
04.10.2016 18:01:53,1,woman,157.0,37.0
04.10.2016 18:01:57,1,woman,160.0,38.0
04.10.2016 18:02:00,1,woman,178.0,39.0
04.10.2016 18:02:11,1,woman,168.0,38.0
04.10.2016 18:02:16,2,man,171.0,41.0
04.10.2016 18:02:22,1,woman,165.0,39.0
04.10.2016 18:02:25,2,man,175.0,44.0
04.10.2016 18:02:27,1,woman,163.0,38.0
04.10.2016 18:02:43,1,woman,158.0,37.0
04.10.2016 18:03:01,1,woman,159.0,38.0
04.10.2016 18:03:11,2,man,183.0,44.0
04.10.2016 18:03:14,1,woman,155.0,37.0
04.10.2016 18:03:19,1,woman,172.0,39.0
04.10.2016 18:03:44,1,woman,164.0,39.0
04.10.2016 18:03:49,1,woman,158.0,35.0
04.10.2016 18:04:45,1,woman,174.0,37.0
04.10.2016 18:07:51,1,woman,164.0,37.0
04.10.2016 18:07:53,1,woman,168.0,38.0
04.10.2016 18:10:17,1,woman,168.0,38.0
04.10.2016 18:13:00,1,woman,163.0,37.0
04.10.2016 18:51:58,1,woman,160.0,37.0
04.10.2016 19:04:42,2,man,183.0,46.0
04.10.2016 19:16:09,1,woman,161.0,38.0
04.10.2016 19:39:43,1,woman,162.0,36.0
04.10.2016 19:59:42,1,woman,165.0,37.0
04.10.2016 20:56:23,1,woman,164.0,36.0
11.10.2016 12:30:32,1,woman,161.0,37.0
11.10.2016 12:31:09,1,woman,163.0,39.0
11.10.2016 12:31:18,1,woman,169.0,40.0
11.10.2016 12:31:25,1,woman,171.0,39.0
11.10.2016 12:31:50,1,woman,163.0,38.0
11.10.2016 12:31:56,1,woman,159.0,36.0
11.10.2016 12:31:59,1,woman,180.0,42.0
11.10.2016 12:31:59,1,woman,168.0,38.0
11.10.2016 12:32:04,1,woman,170.0,38.0
11.10.2016 12:32:05,1,woman,168.0,38.0
11.10.2016 12:32:06,2,man,180.0,42.0
11.10.2016 12:32:10,2,man,183.0,44.0
11.10.2016 12:32:10,1,woman,170.0,40.0
11.10.2016 12:32:09,1,woman,172.0,39.0
11.10.2016 12:32:12,1,woman,163.0,38.0
11.10.2016 12:32:17,1,woman,168.0,38.0
11.10.2016 12:32:22,1,woman,1.84,41.0
11.10.2016 12:32:24,1,woman,169.0,38.0
11.10.2016 12:32:27,2,man,206.0,50.0
11.10.2016 12:32:32,1,woman,165.0,38.0
11.10.2016 12:32:32,1,woman,171.0,40.0
11.10.2016 12:32:33,1,woman,165.0,37.0
11.10.2016 12:32:33,1,woman,168.0,38.0
11.10.2016 12:32:42,2,man,180.0,44.0
11.10.2016 12:32:42,1,woman,160.0,40.0
11.10.2016 12:32:49,2,man,183.0,44.0
11.10.2016 12:32:50,1,woman,160.0,36.5
11.10.2016 12:33:01,1,woman,171.0,40.0
11.10.2016 12:33:13,1,woman,167.0,39.0
11.10.2016 12:33:15,1,woman,172.0,37.0
11.10.2016 12:33:17,1,woman,1.63,38.0
11.10.2016 12:33:30,1,woman,173.0,38.0
11.10.2016 12:33:34,2,man,187.0,44.0
11.10.2016 12:33:49,2,woman,176.0,40.0
11.10.2016 12:33:50,2,man,180.0,42.0
11.10.2016 12:33:53,1,woman,171.5,39.0
11.10.2016 12:34:07,1,woman,364.0,88.0
11.10.2016 12:34:18,1,woman,168.0,36.0
11.10.2016 12:34:38,1,woman,175.0,39.0
11.10.2016 12:34:55,2,man,185.0,42.0
11.10.2016 12:34:58,2,man,205.0,48.0
11.10.2016 12:35:03,1,woman,165.0,36.0
11.10.2016 12:35:25,2,man,175.0,42.0
11.10.2016 12:35:44,2,man,175.0,42.0
11.10.2016 12:36:06,2,man,172.0,41.0
11.10.2016 12:36:33,1,woman,156.0,36.0
11.10.2016 12:36:34,1,woman,1.68,38.0
11.10.2016 12:36:42,1,woman,163.0,37.0
11.10.2016 12:37:05,1,woman,163.0,38.0
11.10.2016 12:37:26,1,woman,1.73,38.0
11.10.2016 12:37:44,1,woman,169.0,39.0
11.10.2016 12:38:01,1,woman,178.0,39.0
11.10.2016 12:41:08,1,woman,170.0,38.0
11.10.2016 12:41:32,1,woman,168.0,38.0
11.10.2016 12:47:47,1,woman,170.0,39.0
11.10.2016 13:04:54,1,woman,173.0,40.0
15.10.2016 15:10:34,1,woman,171.0,40.0
16.10.2016 14:31:49,1,woman,163.0,38.0
16.10.2016 15:46:30,1,woman,166.0,38.0
16.10.2016 17:18:17,1,woman,159.0,38.0
16.10.2016 20:55:46,1,woman,178.0,41.0
16.10.2016 22:25:07,2,man,178.0,44.0
17.10.2016 08:31:01,1,woman,169.0,40.0
17.10.2016 08:36:38,1,woman,158.0,37.0
17.10.2016 12:37:09,1,woman,170.0,39.0
17.10.2016 13:12:48,1,woman,183.0,39.0
19.10.2016 17:07:53,1,woman,173.0,40.0
29.10.2016 20:28:33,1,woman,160.0,37.0
30.10.2016 11:57:57,1,woman,168.0,39.0
